ngay,tuan,part,nhom,tong,dilam,nguoi_nhap,ts
2026-01-14,W3,QC,HN,42,40,seed-excel,
2026-01-14,W3,QC,TV,87,74,seed-excel,
2026-01-14,W3,QC,NN,13,13,seed-excel,
2026-01-14,W3,MM,CT,46,45,seed-excel,
2026-01-14,W3,MM,HN,1,1,seed-excel,
2026-01-14,W3,MM,TV,10,9,seed-excel,
2026-01-14,W3,EQM,CT,35,33,seed-excel,
2026-01-14,W3,HR,CT,41,40,seed-excel,
2026-01-14,W3,HR,HN,1,1,seed-excel,
2026-01-14,W3,HR,TV,1,1,seed-excel,
2026-01-14,W3,INNO,CT,4,4,seed-excel,
2026-01-21,W4,Production,CT,134,123,seed-excel,
2026-01-21,W4,Production,HN,299,262,seed-excel,
2026-01-21,W4,Production,TV,227,180,seed-excel,
2026-01-21,W4,Production,NN,230,230,seed-excel,
2026-01-21,W4,QC,CT,138,130,seed-excel,
2026-01-21,W4,QC,HN,68,61,seed-excel,
2026-01-21,W4,QC,TV,74,58,seed-excel,
2026-01-21,W4,QC,NN,11,11,seed-excel,
2026-01-21,W4,MM,CT,46,46,seed-excel,
2026-01-21,W4,MM,HN,5,4,seed-excel,
2026-01-21,W4,MM,TV,7,5,seed-excel,
2026-01-21,W4,EQM,CT,35,34,seed-excel,
2026-01-21,W4,HR,CT,40,39,seed-excel,
2026-01-21,W4,HR,HN,1,1,seed-excel,
2026-01-21,W4,HR,TV,1,1,seed-excel,
2026-01-21,W4,INNO,CT,4,4,seed-excel,
2026-01-28,W5,Production,CT,132,121,seed-excel,
2026-01-28,W5,Production,HN,320,277,seed-excel,
2026-01-28,W5,Production,TV,183,142,seed-excel,
2026-01-28,W5,Production,NN,240,240,seed-excel,
2026-01-28,W5,QC,CT,139,132,seed-excel,
2026-01-28,W5,QC,HN,70,59,seed-excel,
2026-01-28,W5,QC,TV,56,48,seed-excel,
2026-01-28,W5,QC,NN,23,23,seed-excel,
2026-01-28,W5,MM,CT,46,44,seed-excel,
2026-01-28,W5,MM,HN,8,7,seed-excel,
2026-01-28,W5,MM,TV,4,4,seed-excel,
2026-01-28,W5,MM,NN,1,1,seed-excel,
2026-01-28,W5,EQM,CT,35,34,seed-excel,
2026-01-28,W5,HR,CT,40,39,seed-excel,
2026-01-28,W5,HR,HN,1,1,seed-excel,
2026-01-28,W5,HR,TV,1,1,seed-excel,
2026-01-28,W5,INNO,CT,4,4,seed-excel,
2026-02-04,W6,Production,CT,129,117,seed-excel,
2026-02-04,W6,Production,HN,325,275,seed-excel,
2026-02-04,W6,Production,TV,156,124,seed-excel,
2026-02-04,W6,Production,NN,233,233,seed-excel,
2026-02-04,W6,QC,CT,138,129,seed-excel,
2026-02-04,W6,QC,HN,71,58,seed-excel,
2026-02-04,W6,QC,TV,48,40,seed-excel,
2026-02-04,W6,QC,NN,28,28,seed-excel,
2026-02-04,W6,MM,CT,46,44,seed-excel,
2026-02-04,W6,MM,HN,8,6,seed-excel,
2026-02-04,W6,MM,TV,4,4,seed-excel,
2026-02-04,W6,MM,NN,2,2,seed-excel,
2026-02-04,W6,EQM,CT,35,33,seed-excel,
2026-02-04,W6,HR,CT,40,38,seed-excel,
2026-02-04,W6,HR,HN,1,1,seed-excel,
2026-02-04,W6,HR,TV,1,1,seed-excel,
2026-02-04,W6,INNO,CT,4,4,seed-excel,
2026-02-11,W7,Production,CT,129,99,seed-excel,
2026-02-11,W7,Production,HN,390,300,seed-excel,
2026-02-11,W7,Production,TV,116,67,seed-excel,
2026-02-11,W7,Production,NN,179,179,seed-excel,
2026-02-11,W7,QC,CT,138,122,seed-excel,
2026-02-11,W7,QC,HN,88,65,seed-excel,
2026-02-11,W7,QC,TV,31,17,seed-excel,
2026-02-11,W7,QC,NN,11,11,seed-excel,
2026-02-11,W7,MM,CT,46,42,seed-excel,
2026-02-11,W7,MM,HN,9,5,seed-excel,
2026-02-11,W7,MM,TV,6,5,seed-excel,
2026-02-11,W7,MM,NN,1,1,seed-excel,
2026-02-11,W7,EQM,CT,35,32,seed-excel,
2026-02-11,W7,HR,CT,40,38,seed-excel,
2026-02-11,W7,HR,HN,1,1,seed-excel,
2026-02-11,W7,HR,TV,1,1,seed-excel,
2026-02-11,W7,INNO,CT,4,4,seed-excel,
2026-02-25,W9,Production,CT,128,105,seed-excel,
2026-02-25,W9,Production,HN,260,160,seed-excel,
2026-02-25,W9,Production,TV,148,109,seed-excel,
2026-02-25,W9,Production,NN,163,163,seed-excel,
2026-02-25,W9,QC,CT,138,122,seed-excel,
2026-02-25,W9,QC,HN,62,36,seed-excel,
2026-02-25,W9,QC,TV,27,18,seed-excel,
2026-02-25,W9,QC,NN,19,19,seed-excel,
2026-02-25,W9,MM,CT,46,39,seed-excel,
2026-02-25,W9,MM,HN,6,2,seed-excel,
2026-02-25,W9,MM,TV,5,3,seed-excel,
2026-02-25,W9,MM,NN,1,1,seed-excel,
2026-02-25,W9,EQM,CT,33,30,seed-excel,
2026-02-25,W9,HR,CT,40,38,seed-excel,
2026-02-25,W9,HR,HN,1,1,seed-excel,
2026-02-25,W9,HR,TV,1,1,seed-excel,
2026-02-25,W9,INNO,CT,4,4,seed-excel,
2026-03-04,W10,Production,CT,122,108,seed-excel,
2026-03-04,W10,Production,HN,339,236,seed-excel,
2026-03-04,W10,Production,TV,259,199,seed-excel,
2026-03-04,W10,Production,NN,91,91,seed-excel,
2026-03-04,W10,QC,CT,139,126,seed-excel,
2026-03-04,W10,QC,HN,72,63,seed-excel,
2026-03-04,W10,QC,TV,47,39,seed-excel,
2026-03-04,W10,QC,NN,5,5,seed-excel,
2026-03-04,W10,MM,CT,46,42,seed-excel,
2026-03-04,W10,MM,HN,8,7,seed-excel,
2026-03-04,W10,MM,TV,6,6,seed-excel,
2026-03-04,W10,MM,NN,0,1,seed-excel,
2026-03-04,W10,EQM,CT,31,28,seed-excel,
2026-03-04,W10,HR,CT,39,37,seed-excel,
2026-03-04,W10,HR,TV,1,1,seed-excel,
2026-03-04,W10,INNO,CT,4,4,seed-excel,
2026-03-11,W11,Production,CT,122,113,seed-excel,
2026-03-11,W11,Production,HN,167,149,seed-excel,
2026-03-11,W11,Production,TV,365,299,seed-excel,
2026-03-11,W11,Production,NN,57,57,seed-excel,
2026-03-11,W11,QC,CT,137,125,seed-excel,
2026-03-11,W11,QC,HN,53,48,seed-excel,
2026-03-11,W11,QC,TV,79,69,seed-excel,
2026-03-11,W11,QC,NN,3,3,seed-excel,
2026-03-11,W11,MM,CT,46,42,seed-excel,
2026-03-11,W11,MM,HN,6,6,seed-excel,
2026-03-11,W11,MM,TV,8,7,seed-excel,
2026-03-11,W11,EQM,CT,32,30,seed-excel,
2026-03-11,W11,HR,CT,39,37,seed-excel,
2026-03-11,W11,HR,TV,1,1,seed-excel,
2026-03-11,W11,INNO,CT,4,3,seed-excel,
2026-03-18,W12,Production,CT,117,99,seed-excel,
2026-03-18,W12,Production,HN,159,140,seed-excel,
2026-03-18,W12,Production,TV,461,382,seed-excel,
2026-03-18,W12,Production,NN,18,18,seed-excel,
2026-03-18,W12,QC,CT,134,122,seed-excel,
2026-03-18,W12,QC,HN,52,50,seed-excel,
2026-03-18,W12,QC,TV,97,81,seed-excel,
2026-03-18,W12,MM,CT,44,39,seed-excel,
2026-03-18,W12,MM,HN,5,5,seed-excel,
2026-03-18,W12,MM,TV,11,9,seed-excel,
2026-03-18,W12,EQM,CT,35,31,seed-excel,
2026-03-18,W12,HR,CT,41,39,seed-excel,
2026-03-18,W12,HR,TV,1,1,seed-excel,
2026-03-18,W12,INNO,CT,3,3,seed-excel,
2026-03-25,W13,Production,CT,116,102,seed-excel,
2026-03-25,W13,Production,HN,139,99,seed-excel,
2026-03-25,W13,Production,TV,469,386,seed-excel,
2026-03-25,W13,Production,NN,1,1,seed-excel,
2026-03-25,W13,QC,CT,131,115,seed-excel,
2026-03-25,W13,QC,HN,49,42,seed-excel,
2026-03-25,W13,QC,TV,99,77,seed-excel,
2026-03-25,W13,MM,CT,44,39,seed-excel,
2026-03-25,W13,MM,HN,4,4,seed-excel,
2026-03-25,W13,MM,TV,14,9,seed-excel,
2026-03-25,W13,EQM,CT,32,26,seed-excel,
2026-03-25,W13,HR,CT,40,38,seed-excel,
2026-03-25,W13,HR,TV,1,1,seed-excel,
2026-03-25,W13,INNO,CT,3,3,seed-excel,
2026-04-01,W14,Production,CT,114,103,seed-excel,
2026-04-01,W14,Production,HN,144,131,seed-excel,
2026-04-01,W14,Production,TV,431,364,seed-excel,
2026-04-01,W14,Production,NN,2,2,seed-excel,
2026-04-01,W14,QC,CT,130,125,seed-excel,
2026-04-01,W14,QC,HN,50,48,seed-excel,
2026-04-01,W14,QC,TV,82,71,seed-excel,
2026-04-01,W14,MM,CT,46,42,seed-excel,
2026-04-01,W14,MM,HN,4,4,seed-excel,
2026-04-01,W14,MM,TV,9,7,seed-excel,
2026-04-01,W14,EQM,CT,28,25,seed-excel,
2026-04-01,W14,HR,CT,40,36,seed-excel,
2026-04-01,W14,HR,TV,2,2,seed-excel,
2026-04-01,W14,INNO,CT,3,3,seed-excel,
2026-04-08,W15,Production,CT,111,100,seed-excel,
2026-04-08,W15,Production,HN,185,166,seed-excel,
2026-04-08,W15,Production,TV,409,356,seed-excel,
2026-04-08,W15,QC,CT,130,122,seed-excel,
2026-04-08,W15,QC,HN,66,63,seed-excel,
2026-04-08,W15,QC,TV,77,67,seed-excel,
2026-04-08,W15,MM,CT,50,45,seed-excel,
2026-04-08,W15,MM,HN,15,15,seed-excel,
2026-04-08,W15,MM,TV,8,8,seed-excel,
2026-04-08,W15,EQM,CT,26,24,seed-excel,
2026-04-08,W15,HR,CT,41,38,seed-excel,
2026-04-08,W15,HR,HN,3,3,seed-excel,
2026-04-08,W15,HR,TV,3,3,seed-excel,
2026-04-08,W15,INNO,CT,3,3,seed-excel,
2026-04-15,W16,Production,CT,109,98,seed-excel,
2026-04-15,W16,Production,HN,157,146,seed-excel,
2026-04-15,W16,Production,TV,468,393,seed-excel,
2026-04-15,W16,QC,CT,128,120,seed-excel,
2026-04-15,W16,QC,HN,63,58,seed-excel,
2026-04-15,W16,QC,TV,76,63,seed-excel,
2026-04-15,W16,MM,CT,52,48,seed-excel,
2026-04-15,W16,MM,HN,15,14,seed-excel,
2026-04-15,W16,MM,TV,8,8,seed-excel,
2026-04-15,W16,EQM,CT,26,26,seed-excel,
2026-04-15,W16,HR,CT,40,37,seed-excel,
2026-04-15,W16,HR,HN,4,4,seed-excel,
2026-04-15,W16,HR,TV,3,3,seed-excel,
2026-04-15,W16,INNO,CT,3,3,seed-excel,
2026-04-22,W17,Production,CT,104,96,seed-excel,
2026-04-22,W17,Production,HN,133,129,seed-excel,
2026-04-22,W17,Production,TV,442,368,seed-excel,
2026-04-22,W17,QC,CT,126,111,seed-excel,
2026-04-22,W17,QC,HN,57,54,seed-excel,
2026-04-22,W17,QC,TV,83,73,seed-excel,
2026-04-22,W17,MM,CT,52,47,seed-excel,
2026-04-22,W17,MM,HN,11,11,seed-excel,
2026-04-22,W17,MM,TV,12,9,seed-excel,
2026-04-22,W17,EQM,CT,26,25,seed-excel,
2026-04-22,W17,HR,CT,41,39,seed-excel,
2026-04-22,W17,HR,HN,4,4,seed-excel,
2026-04-22,W17,HR,TV,3,2,seed-excel,
2026-04-22,W17,INNO,CT,3,3,seed-excel,
2026-04-29,W18,Production,CT,84,67,seed-excel,
2026-04-29,W18,Production,TV,325,209,seed-excel,
2026-04-29,W18,QC,CT,97,72,seed-excel,
2026-04-29,W18,QC,HN,13,10,seed-excel,
2026-04-29,W18,QC,TV,58,35,seed-excel,
2026-04-29,W18,MM,CT,41,26,seed-excel,
2026-04-29,W18,MM,TV,15,10,seed-excel,
2026-04-29,W18,EQM,CT,21,17,seed-excel,
2026-04-29,W18,HR,CT,37,30,seed-excel,
2026-04-29,W18,HR,HN,1,1,seed-excel,
2026-04-29,W18,HR,TV,4,3,seed-excel,
2026-04-29,W18,INNO,CT,3,1,seed-excel,
2026-05-06,W19,Production,CT,103,92,seed-excel,
2026-05-06,W19,Production,TV,410,340,seed-excel,
2026-05-06,W19,Production,NN,55,55,seed-excel,
2026-05-06,W19,QC,CT,122,112,seed-excel,
2026-05-06,W19,QC,HN,18,17,seed-excel,
2026-05-06,W19,QC,TV,74,60,seed-excel,
2026-05-06,W19,QC,NN,4,4,seed-excel,
2026-05-06,W19,MM,CT,52,50,seed-excel,
2026-05-06,W19,MM,TV,18,15,seed-excel,
2026-05-06,W19,EQM,CT,27,26,seed-excel,
2026-05-06,W19,HR,CT,41,37,seed-excel,
2026-05-06,W19,HR,HN,1,1,seed-excel,
2026-05-06,W19,HR,TV,5,4,seed-excel,
2026-05-06,W19,INNO,CT,3,3,seed-excel,
2026-05-13,W20,Production,CT,102,93,seed-excel,
2026-05-13,W20,Production,TV,449,378,seed-excel,
2026-05-13,W20,Production,NN,61,61,seed-excel,
2026-05-13,W20,QC,CT,126,118,seed-excel,
2026-05-13,W20,QC,HN,18,18,seed-excel,
2026-05-13,W20,QC,TV,83,73,seed-excel,
2026-05-13,W20,QC,NN,1,1,seed-excel,
2026-05-13,W20,MM,CT,51,49,seed-excel,
2026-05-13,W20,MM,TV,18,15,seed-excel,
2026-05-13,W20,EQM,CT,27,27,seed-excel,
2026-05-13,W20,HR,CT,41,38,seed-excel,
2026-05-13,W20,HR,HN,1,1,seed-excel,
2026-05-13,W20,HR,TV,4,4,seed-excel,
2026-05-13,W20,INNO,CT,5,4,seed-excel,
2026-05-20,W21,Production,CT,100,91,seed-excel,
2026-05-20,W21,Production,HN,22,22,seed-excel,
2026-05-20,W21,Production,TV,608,530,seed-excel,
2026-05-20,W21,QC,CT,130,120,seed-excel,
2026-05-20,W21,QC,HN,26,25,seed-excel,
2026-05-20,W21,QC,TV,104,91,seed-excel,
2026-05-20,W21,MM,CT,51,49,seed-excel,
2026-05-20,W21,MM,TV,18,16,seed-excel,
2026-05-20,W21,EQM,CT,29,27,seed-excel,
2026-05-20,W21,HR,CT,39,35,seed-excel,
2026-05-20,W21,HR,HN,1,1,seed-excel,
2026-05-20,W21,HR,TV,5,5,seed-excel,
2026-05-20,W21,INNO,CT,4,4,seed-excel,
2026-05-27,W22,Production,CT,98,85,seed-excel,
2026-05-27,W22,Production,HN,81,73,seed-excel,
2026-05-27,W22,Production,TV,607,545,seed-excel,
2026-05-27,W22,QC,CT,126,119,seed-excel,
2026-05-27,W22,QC,HN,41,39,seed-excel,
2026-05-27,W22,QC,TV,103,92,seed-excel,
2026-05-27,W22,MM,CT,52,50,seed-excel,
2026-05-27,W22,MM,HN,3,2,seed-excel,
2026-05-27,W22,MM,TV,24,21,seed-excel,
2026-05-27,W22,EQM,CT,29,29,seed-excel,
2026-05-27,W22,EQM,TV,1,1,seed-excel,
2026-05-27,W22,HR,CT,39,36,seed-excel,
2026-05-27,W22,HR,HN,2,2,seed-excel,
2026-05-27,W22,HR,TV,5,4,seed-excel,
2026-05-27,W22,INNO,CT,4,4,seed-excel,
2026-06-03,W23,Production,CT,97,84,seed-excel,
2026-06-03,W23,Production,HN,78,68,seed-excel,
2026-06-03,W23,Production,TV,600,545,seed-excel,
2026-06-03,W23,QC,CT,126,118,seed-excel,
2026-06-03,W23,QC,HN,41,37,seed-excel,
2026-06-03,W23,QC,TV,107,102,seed-excel,
2026-06-03,W23,MM,CT,52,50,seed-excel,
2026-06-03,W23,MM,HN,1,1,seed-excel,
2026-06-03,W23,MM,TV,28,25,seed-excel,
2026-06-03,W23,EQM,CT,30,28,seed-excel,
2026-06-03,W23,HR,CT,37,36,seed-excel,
2026-06-03,W23,HR,HN,2,2,seed-excel,
2026-06-03,W23,HR,TV,6,5,seed-excel,
2026-06-03,W23,INNO,CT,4,4,seed-excel,
2026-06-10,W24,Production,CT,96,88,seed-excel,
2026-06-10,W24,Production,HN,90,78,seed-excel,
2026-06-10,W24,Production,TV,604,546,seed-excel,
2026-06-10,W24,QC,CT,126,115,seed-excel,
2026-06-10,W24,QC,HN,42,39,seed-excel,
2026-06-10,W24,QC,TV,115,106,seed-excel,
2026-06-10,W24,MM,CT,51,45,seed-excel,
2026-06-10,W24,MM,HN,1,1,seed-excel,
2026-06-10,W24,MM,TV,27,25,seed-excel,
2026-06-10,W24,EQM,CT,31,29,seed-excel,
2026-06-10,W24,HR,CT,37,34,seed-excel,
2026-06-10,W24,HR,HN,2,2,seed-excel,
2026-06-10,W24,HR,TV,4,4,seed-excel,
2026-06-10,W24,INNO,CT,5,4,seed-excel,
2026-06-17,W25,Production,CT,98,76,seed-excel,
2026-06-17,W25,Production,HN,77,70,seed-excel,
2026-06-17,W25,Production,TV,494,449,seed-excel,
2026-06-17,W25,QC,CT,123,99,seed-excel,
2026-06-17,W25,QC,HN,35,32,seed-excel,
2026-06-17,W25,QC,TV,102,94,seed-excel,
2026-06-17,W25,MM,CT,53,41,seed-excel,
2026-06-17,W25,MM,HN,1,1,seed-excel,
2026-06-17,W25,MM,TV,24,22,seed-excel,
2026-06-17,W25,EQM,CT,31,25,seed-excel,
2026-06-17,W25,HR,CT,38,28,seed-excel,
2026-06-17,W25,HR,HN,3,3,seed-excel,
2026-06-17,W25,HR,TV,2,1,seed-excel,
2026-06-17,W25,INNO,CT,5,3,seed-excel,
2026-06-24,W26,Production,CT,98,88,seed-excel,
2026-06-24,W26,Production,HN,86,78,seed-excel,
2026-06-24,W26,Production,TV,546,492,seed-excel,
2026-06-24,W26,QC,CT,123,115,seed-excel,
2026-06-24,W26,QC,HN,40,35,seed-excel,
2026-06-24,W26,QC,TV,128,118,seed-excel,
2026-06-24,W26,MM,CT,54,48,seed-excel,
2026-06-24,W26,MM,HN,1,1,seed-excel,
2026-06-24,W26,MM,TV,31,28,seed-excel,
2026-06-24,W26,EQM,CT,30,28,seed-excel,
2026-06-24,W26,EQM,HN,1,1,seed-excel,
2026-06-24,W26,HR,CT,44,41,seed-excel,
2026-06-24,W26,HR,HN,4,4,seed-excel,
2026-06-24,W26,HR,TV,2,1,seed-excel,
2026-06-24,W26,INNO,CT,8,8,seed-excel,
2026-07-01,W27,Production,CT,98,90,seed-excel,
2026-07-01,W27,Production,HN,85,79,seed-excel,
2026-07-01,W27,Production,TV,521,478,seed-excel,
2026-07-01,W27,QC,CT,122,115,seed-excel,
2026-07-01,W27,QC,HN,27,26,seed-excel,
2026-07-01,W27,QC,TV,136,123,seed-excel,
2026-07-01,W27,MM,CT,51,48,seed-excel,
2026-07-01,W27,MM,HN,1,1,seed-excel,
2026-07-01,W27,MM,TV,31,28,seed-excel,
2026-07-01,W27,EQM,CT,29,26,seed-excel,
2026-07-01,W27,EQM,HN,4,4,seed-excel,
2026-07-01,W27,HR,CT,43,39,seed-excel,
2026-07-01,W27,HR,HN,4,4,seed-excel,
2026-07-01,W27,HR,TV,3,3,seed-excel,
2026-07-01,W27,INNO,CT,8,8,seed-excel,
2026-07-08,W28,Production,CT,100,95,seed-excel,
2026-07-08,W28,Production,HN,83,79,seed-excel,
2026-07-08,W28,Production,TV,504,468,seed-excel,
2026-07-08,W28,QC,CT,122,113,seed-excel,
2026-07-08,W28,QC,HN,27,27,seed-excel,
2026-07-08,W28,QC,TV,127,118,seed-excel,
2026-07-08,W28,MM,CT,51,48,seed-excel,
2026-07-08,W28,MM,HN,2,2,seed-excel,
2026-07-08,W28,MM,TV,30,27,seed-excel,
2026-07-08,W28,EQM,CT,28,26,seed-excel,
2026-07-08,W28,EQM,HN,4,4,seed-excel,
2026-07-08,W28,HR,CT,48,43,seed-excel,
2026-07-08,W28,HR,HN,2,2,seed-excel,
2026-07-08,W28,HR,TV,1,1,seed-excel,
2026-07-08,W28,INNO,CT,8,8,seed-excel,
2026-07-15,W29,Production,CT,101,90,seed-excel,
2026-07-15,W29,Production,HN,77,72,seed-excel,
2026-07-15,W29,Production,TV,548,494,seed-excel,
2026-07-15,W29,QC,CT,123,116,seed-excel,
2026-07-15,W29,QC,HN,28,27,seed-excel,
2026-07-15,W29,QC,TV,132,123,seed-excel,
2026-07-15,W29,MM,CT,51,47,seed-excel,
2026-07-15,W29,MM,HN,2,2,seed-excel,
2026-07-15,W29,MM,TV,28,26,seed-excel,
2026-07-15,W29,EQM,CT,28,26,seed-excel,
2026-07-15,W29,EQM,HN,4,4,seed-excel,
2026-07-15,W29,HR,CT,63,54,seed-excel,
2026-07-15,W29,HR,HN,7,7,seed-excel,
2026-07-15,W29,HR,TV,3,2,seed-excel,
2026-07-15,W29,INNO,CT,8,8,seed-excel,
2026-07-22,W30,Production,CT,99,87,seed-excel,
2026-07-22,W30,Production,HN,101,93,seed-excel,
2026-07-22,W30,Production,TV,609,546,seed-excel,
2026-07-22,W30,QC,CT,123,115,seed-excel,
2026-07-22,W30,QC,HN,27,25,seed-excel,
2026-07-22,W30,QC,TV,150,135,seed-excel,
2026-07-22,W30,MM,CT,51,47,seed-excel,
2026-07-22,W30,MM,HN,2,2,seed-excel,
2026-07-22,W30,MM,TV,27,24,seed-excel,
2026-07-22,W30,EQM,CT,29,28,seed-excel,
2026-07-22,W30,EQM,HN,4,4,seed-excel,
2026-07-22,W30,HR,CT,44,39,seed-excel,
2026-07-22,W30,HR,HN,6,6,seed-excel,
2026-07-22,W30,HR,TV,3,3,seed-excel,
2026-07-22,W30,INNO,CT,8,8,seed-excel,
2026-07-29,W31,Production,CT,96,88,seed-excel,
2026-07-29,W31,Production,HN,77,74,seed-excel,
2026-07-29,W31,Production,TV,724,639,seed-excel,
2026-07-29,W31,QC,CT,122,114,seed-excel,
2026-07-29,W31,QC,HN,24,23,seed-excel,
2026-07-29,W31,QC,TV,154,137,seed-excel,
2026-07-29,W31,MM,CT,50,46,seed-excel,
2026-07-29,W31,MM,HN,2,2,seed-excel,
2026-07-29,W31,MM,TV,25,21,seed-excel,
2026-07-29,W31,EQM,CT,30,29,seed-excel,
2026-07-29,W31,EQM,HN,4,4,seed-excel,
2026-07-29,W31,HR,CT,44,38,seed-excel,
2026-07-29,W31,HR,HN,7,7,seed-excel,
2026-07-29,W31,HR,TV,3,3,seed-excel,
2026-07-29,W31,INNO,CT,8,7,seed-excel,
2026-08-05,W32,Production,CT,92,86,seed-excel,
2026-08-05,W32,Production,HN,73,67,seed-excel,
2026-08-05,W32,Production,TV,771,676,seed-excel,
2026-08-05,W32,QC,CT,120,114,seed-excel,
2026-08-05,W32,QC,HN,24,23,seed-excel,
2026-08-05,W32,QC,TV,171,154,seed-excel,
2026-08-05,W32,MM,CT,53,51,seed-excel,
2026-08-05,W32,MM,HN,2,2,seed-excel,
2026-08-05,W32,MM,TV,33,28,seed-excel,
2026-08-05,W32,EQM,CT,31,28,seed-excel,
2026-08-05,W32,EQM,HN,4,4,seed-excel,
2026-08-05,W32,HR,CT,48,40,seed-excel,
2026-08-05,W32,HR,HN,6,6,seed-excel,
2026-08-05,W32,HR,TV,1,1,seed-excel,
2026-08-05,W32,INNO,CT,8,8,seed-excel,
2026-08-12,W33,Production,CT,93,84,seed-excel,
2026-08-12,W33,Production,HN,63,59,seed-excel,
2026-08-12,W33,Production,TV,745,652,seed-excel,
2026-08-12,W33,Production,NN,11,11,seed-excel,
2026-08-12,W33,QC,CT,121,116,seed-excel,
2026-08-12,W33,QC,HN,23,21,seed-excel,
2026-08-12,W33,QC,TV,173,152,seed-excel,
2026-08-12,W33,MM,CT,54,49,seed-excel,
2026-08-12,W33,MM,HN,1,1,seed-excel,
2026-08-12,W33,MM,TV,32,26,seed-excel,
2026-08-12,W33,EQM,CT,32,26,seed-excel,
2026-08-12,W33,EQM,HN,4,4,seed-excel,
2026-08-12,W33,HR,CT,62,52,seed-excel,
2026-08-12,W33,HR,HN,6,5,seed-excel,
2026-08-12,W33,HR,TV,3,2,seed-excel,
2026-08-12,W33,INNO,CT,8,8,seed-excel,
2026-08-12,W33,INNO,TV,1,1,seed-excel,
2026-08-19,W34,Production,CT,99,90,seed-excel,
2026-08-19,W34,Production,HN,38,37,seed-excel,
2026-08-19,W34,Production,TV,657,549,seed-excel,
2026-08-19,W34,Production,NN,71,71,seed-excel,
2026-08-19,W34,QC,CT,126,116,seed-excel,
2026-08-19,W34,QC,HN,10,9,seed-excel,
2026-08-19,W34,QC,TV,152,135,seed-excel,
2026-08-19,W34,QC,NN,1,1,seed-excel,
2026-08-19,W34,MM,CT,55,52,seed-excel,
2026-08-19,W34,MM,TV,26,19,seed-excel,
2026-08-19,W34,MM,NN,2,2,seed-excel,
2026-08-19,W34,EQM,CT,30,26,seed-excel,
2026-08-19,W34,EQM,HN,2,1,seed-excel,
2026-08-19,W34,HR,CT,44,40,seed-excel,
2026-08-19,W34,HR,HN,1,1,seed-excel,
2026-08-19,W34,HR,TV,3,3,seed-excel,
2026-08-19,W34,INNO,CT,8,8,seed-excel,
2026-08-19,W34,INNO,TV,1,1,seed-excel,
2026-08-26,W35,Production,CT,101,93,seed-excel,
2026-08-26,W35,Production,HN,15,13,seed-excel,
2026-08-26,W35,Production,TV,564,458,seed-excel,
2026-08-26,W35,Production,NN,80,80,seed-excel,
2026-08-26,W35,QC,CT,128,118,seed-excel,
2026-08-26,W35,QC,TV,145,121,seed-excel,
2026-08-26,W35,QC,NN,1,1,seed-excel,
2026-08-26,W35,MM,CT,57,53,seed-excel,
2026-08-26,W35,MM,TV,20,14,seed-excel,
2026-08-26,W35,MM,NN,2,2,seed-excel,
2026-08-26,W35,EQM,CT,29,25,seed-excel,
2026-08-26,W35,EQM,HN,1,1,seed-excel,
2026-08-26,W35,HR,CT,45,42,seed-excel,
2026-08-26,W35,HR,HN,2,2,seed-excel,
2026-08-26,W35,HR,TV,2,1,seed-excel,
2026-08-26,W35,INNO,CT,8,8,seed-excel,
